Entidad federativa;Grupo quinquenal de edad;Población
Yucatán;100 años y más;205
Yucatán;No especificado;3816
Zacatecas;Total;1622138
Zacatecas;0 a 4 años;151745
Zacatecas;5 a 9 años;155704
Zacatecas;10 a 14 años;151355
Zacatecas;15 a 19 años;141208
Zacatecas;20 a 24 años;130238
Zacatecas;25 a 29 años;117673
Zacatecas;30 a 34 años;114442
Zacatecas;35 a 39 años;104728
Zacatecas;40 a 44 años;102682
Zacatecas;45 a 49 años;95118
Zacatecas;50 a 54 años;86207
Zacatecas;55 a 59 años;69401
Zacatecas;60 a 64 años;58039
Zacatecas;65 a 69 años;44719
Zacatecas;70 a 74 años;35100
Zacatecas;75 a 79 años;26357
Zacatecas;80 a 84 años;18058
Zacatecas;85 a 89 años;10975
Zacatecas;90 a 94 años;4569
Zacatecas;95 a 99 años;1723
Zacatecas;100 años y más;239
Zacatecas;No especificado;1858
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
